Symbol,Name,LastSale, MarketCap ,IPOyear,Sector,industry,Summary Quote
AABA,Altaba Inc.,70.15, $36.44B ,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/aaba
AAL,"American Airlines Group, Inc.",27.51, $12.25B ,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/aal
AAME,Atlantic American Corporation,2.451, $49.37M ,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aame
AAOI,"Applied Optoelectronics, Inc.",9.85, $197.28M ,2013,Technology,Semiconductors,https://www.nasdaq.com/symbol/aaoi
AAON,"AAON, Inc.",44.95, $2.34B ,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aaon
AAPL,Apple Inc.,208.97, $944.37B ,1980,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/aapl
AAWW,Atlas Air Worldwide Holdings,28.45, $735.55M ,n/a,Transportation,Transportation Services,https://www.nasdaq.com/symbol/aaww
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,64.48, $3.73B ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aaxj
AAXN,"Axon Enterprise, Inc.",58.78, $3.48B ,n/a,Capital Goods,Ordnance And Accessories,https://www.nasdaq.com/symbol/aaxn
ABCB,Ameris Bancorp,36.98, $2.57B ,1994,Finance,Major Banks,https://www.nasdaq.com/symbol/abcb
ABDC,Alcentra Capital Corp.,9.24, $118.97M ,n/a,n/a,n/a,https://www.nasdaq.com/symbol/abdc
ABEO,Abeona Therapeutics Inc.,2.39, $117.86M ,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeo
ABEOW,Abeona Therapeutics Inc.,0.15, n/a ,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeow
ABIL,Ability Inc.,0.67, $5.39M ,2014,Capital Goods,Telecommunications Equipment,https://www.nasdaq.com/symbol/abil
ABIO,"ARCA biopharma, Inc.",6.11, $8.89M ,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/abio
ABMD,"ABIOMED, Inc.",197.15, $8.95B ,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/abmd
ABTX,"Allegiance Bancshares, Inc.",32.42, $685.95M ,2015,Finance,Major Banks,https://www.nasdaq.com/symbol/abtx
ABUS,Arbutus Biopharma Corporation,1.55, $88.12M ,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abus
ACAD,ACADIA Pharmaceuticals Inc.,29.45, $4.26B ,1985,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acad
ACAM,Acamar Partners Acquisition Corp.,9.9, $378.15M ,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acam
ACAMU,Acamar Partners Acquisition Corp.,10.05, n/a ,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acamu
ACAMW,Acamar Partners Acquisition Corp.,0.76, n/a ,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acamw
ACBI,"Atlantic Capital Bancshares, Inc.",17.44, $399.01M ,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/acbi
ACER,Acer Therapeutics Inc.,2.45, $24.71M ,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acer
ACGL,Arch Capital Group Ltd.,39.46, $15.98B ,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/acgl
ACGLO,Arch Capital Group Ltd.,25.65, n/a ,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/acglo
ACGLP,Arch Capital Group Ltd.,24.79, n/a ,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/acglp
ACHC,"Acadia Healthcare Company, Inc.",29.02, $2.57B ,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/achc
ACHN,"Achillion Pharmaceuticals, Inc.",4.69, $655.16M ,2006,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/achn
ACHV,"Achieve Life Sciences, Inc. ",1.9, $15.39M ,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/achv
ACIA,"Acacia Communications, Inc.",65.05, $2.67B ,2016,Technology,Semiconductors,https://www.nasdaq.com/symbol/acia
ACIU,AC Immune SA,5.46, $368.89M ,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aciu
ACIW,"ACI Worldwide, Inc.",29.04, $3.39B ,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/aciw
ACLS,"Axcelis Technologies, Inc.",15.28, $494.03M ,2000,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acls
ACMR,"ACM Research, Inc.",18.31, $304.67M ,2017,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acmr
ACNB,ACNB Corporation,36.57, $258.54M ,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/acnb
ACOR,"Acorda Therapeutics, Inc.",2.73, $131.33M ,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/acor
