day,D_encinitas,D_tepper1,D_smoombapteltd,D_dosomething,D_shinsbatch,D_speedoflight,D_hideyoshi,D_radyucsd,D_umichioeinternationalmp,D_schaefercitybulldogs,D_rotmanroxstars
30,,,,,,,,,,,
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2973.0,-47027.0,2973.0,2973.0,2973.0,-97027.0,2973.0,-47027.0,2973.0,-88027.0,-47027.0
30,0.0,0.0,0.0,0.0,0.0,0.0,-50000.0,0.0,0.0,0.0,0.0
30,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
30,1000.0,1922.0,1000.0,-49000.0,-121200.0,1000.0,1000.0,1000.0,1000.0,1000.0,1922.0
30,2849.0,3020.0,-47151.0,2844.0,2836.0,2827.0,2840.0,2838.0,-46154.0,2830.0,2021.0
31,2000.0,-67800.0,2000.0,-71000.0,2000.0,2000.0,2000.0,2000.0,1000.0,2000.0,2000.0
31,0.0,0.0,0.0,0.0,0.0,0.0,-73000.0,0.0,3000.0,0.0,2000.0
31,2998.0,2998.0,2998.0,2998.0,2998.0,2997.0,2998.0,2998.0,2000.0,2998.0,2000.0
31,2034.0,2006.0,2020.0,2004.0,3001.0,2008.0,3008.0,3021.0,1021.0,2010.0,2021.0
32,3000.0,3000.0,3000.0,3000.0,2000.0,3000.0,1000.0,1000.0,1000.0,3000.0,1000.0
32,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,3000.0,1000.0,1000.0
32,-49000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,1000.0
33,33.0,5.0,23.0,4.0,3004.0,9.0,3003.0,3022.0,2023.0,12.0,4023.0
33,911.0,911.0,912.0,911.0,2000.0,912.0,2000.0,2000.0,3000.0,911.0,1000.0
33,3424.0,3424.0,3423.0,3424.0,1000.0,3423.0,2000.0,1000.0,2000.0,3424.0,-79400.0
33,1695.0,2481.0,1695.0,1695.0,1868.0,1696.0,1000.0,1874.0,890.0,-47519.0,1000.0
33,602.0,6.0,602.0,583.0,1006.0,531.0,3006.0,1024.0,1357.0,8.0,2013.0
34,0.0,2021.0,0.0,0.0,3000.0,460.0,1000.0,-94000.0,1362.0,2020.0,0.0
34,1132.0,2000.0,1132.0,1132.0,1000.0,339.0,1000.0,1000.0,529.0,2000.0,2000.0
34,0.0,0.0,0.0,0.0,1000.0,178.0,3000.0,1000.0,-84977.0,0.0,3000.0
34,277.0,1718.0,25.0,257.0,3785.0,11.0,2007.0,2792.0,17.0,1713.0,2004.0
