day,D_encinitas,D_tepper1,D_smoombapteltd,D_dosomething,D_shinsbatch,D_speedoflight,D_hideyoshi,D_radyucsd,D_umichioeinternationalmp,D_schaefercitybulldogs,D_rotmanroxstars
30,7700.0,5900.0,4900.0,6700.0,6700.0,4800.0,7700.0,4800.0,4900.0,4800.0,4900.0
31,14600.0,10800.0,11800.0,11600.0,14600.0,11700.0,15600.0,12700.0,11900.0,11700.0,12900.0
32,18600.0,15800.0,16800.0,16600.0,18600.0,16700.0,18600.0,15700.0,15900.0,16700.0,15900.0
33,25100.0,22500.0,23300.0,23000.0,27400.0,23100.0,29600.0,24500.0,25000.0,21000.0,23900.0
34,26400.0,28200.0,24400.0,24300.0,36100.0,23900.0,36600.0,29200.0,26800.0,26700.0,30900.0
35,27800.0,37600.0,24400.0,25700.0,43100.0,24200.0,43600.0,36200.0,31900.0,35100.0,37900.0
36,27800.0,43500.0,24400.0,30800.0,50000.0,24800.0,50600.0,44100.0,34500.0,41600.0,43900.0
37,27800.0,51000.0,24800.0,36700.0,59000.0,31200.0,59400.0,51600.0,35500.0,50400.0,50900.0
38,27800.0,60900.0,25500.0,47100.0,64000.0,35000.0,65400.0,59600.0,44300.0,59400.0,57900.0
39,28800.0,63900.0,29200.0,50100.0,67000.0,43900.0,68400.0,62600.0,50600.0,62400.0,59900.0
40,29800.0,68600.0,33200.0,55700.0,70000.0,48700.0,72400.0,66600.0,58600.0,65400.0,63900.0
41,33800.0,75800.0,36200.0,59400.0,74000.0,56800.0,75400.0,72100.0,62600.0,67400.0,66900.0
42,38800.0,80300.0,41200.0,63900.0,78000.0,61300.0,80400.0,75700.0,67300.0,71400.0,71900.0
43,46800.0,92000.0,49200.0,74500.0,84000.0,75300.0,89400.0,89200.0,70900.0,79400.0,79900.0
44,54800.0,100900.0,57200.0,81100.0,91900.0,80300.0,95400.0,97300.0,79600.0,87800.0,84900.0
45,59800.0,107200.0,63200.0,90100.0,97900.0,86300.0,101400.0,104800.0,87100.0,96500.0,90900.0
46,66800.0,110700.0,70200.0,97800.0,103900.0,95300.0,105400.0,109200.0,91500.0,103500.0,97900.0
47,74800.0,118600.0,78200.0,105700.0,109900.0,102300.0,113400.0,117100.0,99900.0,113900.0,105900.0
48,83800.0,128500.0,87200.0,111200.0,119300.0,110300.0,119400.0,127000.0,110700.0,121600.0,114900.0
49,90800.0,138500.0,94200.0,119700.0,130100.0,118300.0,126400.0,136800.0,117000.0,129600.0,121800.0
