day	inventory level in kits (not an average)
1	396
2	387
3	383
4	376
5	369
6	361
7	353
8	343
9	336
10	329
11	321
12	314
13	307
14	302
15	289
16	278
17	273
18	266
19	258
20	249
21	239
22	230
23	223
24	216
25	212
26	206
27	203
28	199
29	188
30	181
31	173
32	168
33	154
34	147
35	138
36	128
37	118
38	115
39	115
40	114
41	111
42	107
43	98
44	91
45	87
46	80
47	71
48	64
49	57
50	49
51	40
52	29
53	22
54	13
55	5
55.464	0
56	0
57	0
57.557	0
57.557	120
58	105
59	92
60	83
61	74
62	68
63	60
64	51
65	39
66	29
67	19
68	10
69	2
69.12	0
70	0
71	0
72	0
72.557	0
72.557	146
73	136
74	126
75	118
76	110
77	100
78	85
79	77
80	69
81	59
82	47
83	33
84	26
85	17
86	8
86.957	0
87	0
87.557	0
87.557	185
88	181
89	170
90	159
91	148
92	138
93	130
94	121
95	110
96	99
97	87
98	76
99	71
100	62
101	41
102	30
103	17
103.233	16
103.233	246
104	233
105	221
106	209
107	195
108	178
109	163
110	141
111	127
112	111
113	97
114	81
115	66
116	51
117	36
118	18
118.757	5
118.757	194
119	189
120	180
121	174
122	165
123	152
124	130
125	107
126	88
127	78
128	67
129	59
130	41
131	21
132	9
133	7
133.586	0
133.757	0
133.757	259
134	252
135	233
136	218
137	198
138	177
139	158
140	140
141	130
142	118
143	107
144	85
145	63
146	46
147	33
148	21
149	1
149.019	0
149.418	0
149.418	214
150	198
151	182
152	174
153	162
154	146
155	121
156	93
157	73
158	51
159	35
160	23
161	9
162	4
163	4
163.665	0
164	0
164.418	0
164.418	405
165	392
166	375
167	359
168	345
169	323
170	296
171	277
172	260
173	240
174	217
175	198
176	167
177	136
178	108
179	86
179.418	77
179.418	342
180	324
181	294
182	269
183	252
184	233
185	205
186	174
187	141
188	110
189	81
190	59
191	44
192	31
193	16
194	14
194.418	5
194.418	444
195	435
196	411
197	392
198	374
199	353
200	330
201	296
202	268
203	246
204	224
205	203
206	178
207	157
208	136
209	116
209.418	104
209.418	576
210	564
211	543
212	522
213	494
214	472
215	443
216	421
217	400
218	376
219	355
220	337
221	311
222	289
223	267
224	243
225	213
226	188
227	159
228	127
229	91
230	68
231	41
231.496	31
231.496	503
232	496
233	469
234	442
235	412
236	382
237	363
238	337
239	310
240	288
241	264
242	234
243	211
244	189
245	161
246	130
246.496	115
246.496	671
247	656
248	632
249	602
250	576
251	548
252	523
253	496
254	468
255	447
256	418
257	393
258	368
259	338
260	312
261	278
262	249
263	222
264	188
264.027	187
264.027	701
265	676
266	653
267	625
268	591
269	561
270	531
271	500
272	472
273	440
274	415
275	391
276	366
277	337
278	306
279	282
280	252
281	224
282	194
282.779	173
282.779	687
283	678
284	648
285	620
286	598
287	565
288	542
289	520
290	495
291	464
292	437
293	396
294	370
295	351
296	323
297	306
298	279
299	257
300	226
301	198
302	177
303	158
304	140
305	121
305.055	120
305.055	139
306	121
307	104
308	88
309	70
310	57
311	37
312	20
312.93	0
313	0
314	0
315	0
316	0
317	0
318	0
319	0
320	0
320.055	0
320.055	514
321	473
322	450
323	425
324	406
325	376
326	356
327	322
328	305
329	279
330	262
331	229
332	211
333	188
334	166
335	145
336	126
337	105
338	80
339	59
339.091	57
339.091	397
340	378
341	356
342	337
343	318
344	289
345	271
346	249
347	232
348	215
349	199
350	190
351	176
352	159
353	146
354	135
355	120
356	102
356.739	88
356.739	388
357	385
358	366
359	349
360	330
361	317
362	296
363	281
364	266
365	248
366	227
367	212
368	191
369	176
370	157
371	140
372	123
373	103
374	85
375	61
376	38
377	19
377.756	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
