number of completed jobs each day
day	set1	set2	set3
1	1	0	0
2	8	0	0
3	6	0	0
4	5	0	0
5	8	0	0
6	7	0	0
7	6	0	0
8	5	0	0
9	9	0	0
10	7	0	0
11	6	0	0
12	9	0	0
13	9	0	0
14	7	0	0
15	7	0	0
16	7	0	0
17	6	0	0
18	5	0	0
19	7	0	0
20	8	0	0
21	6	0	0
22	8	0	0
23	6	0	0
24	7	0	0
25	10	0	0
26	9	0	0
27	8	0	0
28	12	0	0
29	6	0	0
30	8	0	0
31	8	0	0
32	7	0	0
33	5	0	0
34	8	0	0
35	6	0	0
36	7	0	0
37	7	0	0
38	6	0	0
39	5	0	0
40	14	0	0
41	1	0	0
42	4	0	0
43	4	0	0
44	9	0	0
45	8	0	0
46	6	0	0
47	7	0	0
48	8	0	0
49	8	0	0
50	7	0	0
51	10	0	0
52	5	0	0
53	11	0	0
54	9	0	0
55	6	0	0
56	10	0	0
57	1	0	0
58	0	2	0
59	0	12	0
60	0	12	0
61	6	2	0
62	12	0	0
63	11	0	0
64	8	0	0
65	9	0	0
66	12	0	0
67	9	0	0
68	9	0	0
69	9	0	0
70	7	0	0
71	0	0	0
72	0	0	0
73	2	0	0
74	14	0	0
75	10	0	0
76	8	0	0
77	9	0	0
78	10	0	0
79	13	0	0
80	8	0	0
81	10	0	0
82	10	0	0
83	12	0	0
84	10	0	0
85	7	0	0
86	9	0	0
87	9	0	0
88	8	0	0
89	9	0	0
90	10	0	0
91	8	0	0
92	6	0	0
93	15	0	0
94	10	0	0
95	8	0	0
96	13	0	0
97	10	0	0
98	12	0	0
99	7	0	0
100	9	0	0
101	10	3	0
102	0	11	0
103	0	12	0
104	0	15	0
105	0	10	0
106	12	4	1
107	12	0	0
108	11	0	2
109	2	15	3
110	0	15	2
111	0	12	1
112	0	16	0
113	0	18	0
114	0	12	0
115	0	17	0
116	0	13	0
117	0	10	5
118	0	7	11
119	0	0	20
120	10	0	10
121	6	0	0
122	10	0	0
123	1	6	0
124	0	16	0
125	0	20	0
126	0	6	13
127	1	15	0
128	16	1	0
129	7	0	2
130	6	10	0
131	0	17	0
132	7	10	0
133	4	1	0
134	0	6	2
135	9	2	5
136	0	19	0
137	0	17	0
138	0	18	0
139	6	12	0
140	18	0	0
141	20	0	0
142	8	0	0
143	11	2	0
144	0	15	0
145	0	20	0
146	0	16	0
147	3	16	0
148	5	9	0
149	0	18	0
150	0	1	11
151	18	0	8
152	8	0	0
153	13	0	0
154	11	0	0
155	5	14	0
156	0	25	0
157	0	25	0
158	0	22	0
159	13	8	0
160	15	0	0
161	12	0	0
162	10	0	0
163	0	0	0
164	4	0	0
165	6	0	0
166	16	0	0
167	17	0	0
168	14	0	0
169	0	17	0
170	0	29	0
171	0	22	0
172	0	18	0
173	0	21	0
174	0	20	0
175	13	6	0
176	3	0	18
177	0	0	33
178	0	0	17
179	0	0	23
180	0	0	33
181	0	0	30
182	0	24	7
183	0	22	0
184	0	22	0
185	0	9	15
186	0	0	26
187	0	0	27
188	0	0	29
189	0	0	21
190	0	0	30
191	0	9	8
192	14	17	0
193	15	0	0
194	5	0	0
195	0	13	0
196	0	20	0
197	0	21	0
198	0	20	0
199	0	16	0
200	0	22	0
201	0	12	13
202	0	0	25
203	0	12	21
204	0	27	0
205	0	19	0
206	0	23	0
207	0	24	0
208	0	20	0
209	0	22	0
210	0	23	0
211	0	23	0
212	0	18	0
213	0	23	0
214	0	27	0
215	0	25	0
216	0	28	0
217	0	21	0
218	0	24	0
219	0	20	0
220	0	19	0
221	0	22	0
222	0	20	0
223	0	28	0
224	0	21	0
225	0	24	0
226	0	25	0
227	0	33	0
228	0	23	0
229	0	26	0
230	0	3	20
231	0	9	17
232	0	0	31
233	8	5	12
234	0	22	0
235	0	25	0
236	0	28	0
237	0	21	0
238	0	23	0
239	0	27	0
240	0	33	0
241	0	21	0
242	0	28	0
243	0	29	0
244	0	26	0
245	0	27	0
246	0	14	0
247	0	30	0
248	0	43	0
249	0	15	0
250	0	22	0
251	0	34	0
252	0	21	0
253	0	29	0
254	0	35	0
255	0	20	0
256	0	25	0
257	0	26	0
258	0	27	0
259	0	28	0
260	0	37	0
261	0	30	0
262	0	36	0
263	0	28	0
264	0	21	0
265	0	27	0
266	0	26	0
267	0	24	0
268	0	37	0
269	0	27	0
270	0	27	0
271	0	30	0
272	0	36	0
273	0	24	0
274	0	26	0
275	0	32	0
276	0	17	0
277	0	32	0
278	0	28	0
279	0	25	0
280	0	30	0
281	0	26	0
282	0	31	0
283	0	28	0
284	0	32	0
285	0	4	23
286	0	0	22
287	0	0	33
288	0	0	25
289	0	12	10
290	0	28	0
291	0	30	0
292	0	37	0
293	0	30	0
294	0	24	1
295	0	0	25
296	24	0	2
297	30	0	0
298	28	0	0
299	28	0	0
300	25	0	0
301	22	0	0
302	28	0	0
303	20	0	0
304	19	0	0
305	19	0	0
306	20	0	0
307	15	0	0
308	18	0	0
309	16	0	0
310	18	0	0
311	16	0	0
312	20	0	0
313	16	0	0
314	8	0	0
