daily average revenue per job
day	set1	set2	set3
1	1,000	0	0
2	1,000	0	0
3	1,000	0	0
4	1,000	0	0
5	1,000	0	0
6	1,000	0	0
7	1,000	0	0
8	985.766	0	0
9	789.194	0	0
10	749.421	0	0
11	836.806	0	0
12	697.158	0	0
13	725.105	0	0
14	953.667	0	0
15	980.501	0	0
16	904.836	0	0
17	346.902	0	0
18	26.928	0	0
19	0	0	0
20	0	0	0
21	0	0	0
22	0	0	0
23	0	0	0
24	0	0	0
25	0	0	0
26	0	0	0
27	0	0	0
28	506.734	0	0
29	1,000	0	0
30	966.972	0	0
31	973.74	0	0
32	999.658	0	0
33	1,000	0	0
34	825.998	0	0
35	230.654	0	0
36	195.294	0	0
37	33.335	0	0
38	0	0	0
39	0	0	0
40	71.429	0	0
41	1,000	0	0
42	1,000	0	0
43	1,000	0	0
44	1,000	0	0
45	1,000	0	0
46	1,000	0	0
47	1,000	0	0
48	1,000	0	0
49	1,000	0	0
50	1,000	0	0
51	1,000	0	0
52	1,000	0	0
53	1,000	0	0
54	1,000	0	0
55	1,000	0	0
56	955.588	0	0
57	1,000	0	0
58	0	900	0
59	0	850.877	0
60	0	834.654	0
61	723.347	609.344	0
62	759.25	0	0
63	987.727	0	0
64	1,000	0	0
65	1,000	0	0
66	1,000	0	0
67	1,000	0	0
68	1,000	0	0
69	1,000	0	0
70	1,000	0	0
71	0	0	0
72	0	0	0
73	500	0	0
74	1,000	0	0
75	1,000	0	0
76	1,000	0	0
77	1,000	0	0
78	1,000	0	0
79	1,000	0	0
80	1,000	0	0
81	1,000	0	0
82	1,000	0	0
83	1,000	0	0
84	1,000	0	0
85	1,000	0	0
86	1,000	0	0
87	1,000	0	0
88	1,000	0	0
89	1,000	0	0
90	1,000	0	0
91	1,000	0	0
92	977.508	0	0
93	891.858	0	0
94	1,000	0	0
95	1,000	0	0
96	1,000	0	0
97	1,000	0	0
98	1,000	0	0
99	1,000	0	0
100	1,000	0	0
101	1,000	900	0
102	0	900	0
103	0	791.839	0
104	0	871.603	0
105	0	873.583	0
106	1,000	870.393	800
107	983.996	0	0
108	1,000	0	800
109	1,000	900	774.438
110	0	900	800
111	0	900	800
112	0	887.716	0
113	0	890.249	0
114	0	900	0
115	0	863.439	0
116	0	895.16	0
117	0	875.109	800
118	0	896.42	800
119	0	0	800
120	1,000	0	800
121	1,000	0	0
122	1,000	0	0
123	1,000	900	0
124	0	900	0
125	0	900	0
126	0	900	800
127	1,000	900	0
128	1,000	845.75	0
129	1,000	0	800
130	1,000	900	0
131	0	900	0
132	1,000	900	0
133	1,000	900	0
134	0	900	800
135	1,000	900	800
136	0	900	0
137	0	900	0
138	0	900	0
139	1,000	900	0
140	1,000	0	0
141	1,000	0	0
142	1,000	0	0
143	1,000	900	0
144	0	900	0
145	0	900	0
146	0	900	0
147	1,000	892.738	0
148	1,000	900	0
149	0	900	0
150	0	900	800
151	1,000	0	800
152	1,000	0	0
153	1,000	0	0
154	1,000	0	0
155	1,000	900	0
156	0	900	0
157	0	900	0
158	0	900	0
159	1,000	900	0
160	1,000	0	0
161	1,000	0	0
162	1,000	0	0
163	0	0	0
164	1,000	0	0
165	1,000	0	0
166	1,000	0	0
167	1,000	0	0
168	1,000	0	0
169	0	900	0
170	0	900	0
171	0	900	0
172	0	900	0
173	0	900	0
174	0	900	0
175	1,000	900	0
176	1,000	0	800
177	0	0	800
178	0	0	800
179	0	0	677.824
180	0	0	755.478
181	0	0	800
182	0	900	800
183	0	900	0
184	0	900	0
185	0	900	800
186	0	0	800
187	0	0	800
188	0	0	800
189	0	0	780.089
190	0	0	680.915
191	0	787.503	758.64
192	1,000	694.232	0
193	1,000	0	0
194	1,000	0	0
195	0	900	0
196	0	900	0
197	0	900	0
198	0	900	0
199	0	900	0
200	0	900	0
201	0	900	800
202	0	0	800
203	0	900	800
204	0	900	0
205	0	900	0
206	0	900	0
207	0	900	0
208	0	900	0
209	0	900	0
210	0	900	0
211	0	900	0
212	0	900	0
213	0	900	0
214	0	900	0
215	0	900	0
216	0	900	0
217	0	900	0
218	0	900	0
219	0	900	0
220	0	900	0
221	0	900	0
222	0	900	0
223	0	900	0
224	0	900	0
225	0	900	0
226	0	900	0
227	0	900	0
228	0	900	0
229	0	900	0
230	0	900	702.345
231	0	676.575	622.984
232	0	0	630.925
233	1,000	900	780.476
234	0	900	0
235	0	852.695	0
236	0	870.321	0
237	0	585.642	0
238	0	500.193	0
239	0	691.048	0
240	0	797.537	0
241	0	876.128	0
242	0	816.027	0
243	0	896.714	0
244	0	900	0
245	0	898.89	0
246	0	897.118	0
247	0	854.883	0
248	0	865.809	0
249	0	900	0
250	0	805.165	0
251	0	771.27	0
252	0	764.449	0
253	0	653.991	0
254	0	871.347	0
255	0	865.809	0
256	0	855.272	0
257	0	838.56	0
258	0	856.772	0
259	0	892.396	0
260	0	893.545	0
261	0	900	0
262	0	900	0
263	0	900	0
264	0	900	0
265	0	895.221	0
266	0	878.514	0
267	0	896.04	0
268	0	900	0
269	0	899.966	0
270	0	884.963	0
271	0	900	0
272	0	894.759	0
273	0	899.777	0
274	0	890.269	0
275	0	852.727	0
276	0	835.502	0
277	0	757.978	0
278	0	900	0
279	0	840.464	0
280	0	829.887	0
281	0	845.477	0
282	0	855.817	0
283	0	874.949	0
284	0	893.83	0
285	0	895.872	787.942
286	0	0	617.378
287	0	0	745.272
288	0	0	718.868
289	0	745.465	630.697
290	0	738.485	0
291	0	885.913	0
292	0	900	0
293	0	900	0
294	0	894.283	780.111
295	0	0	616.534
296	971.155	0	459.106
297	1,000	0	0
298	1,000	0	0
299	1,000	0	0
300	1,000	0	0
301	1,000	0	0
302	1,000	0	0
303	1,000	0	0
304	1,000	0	0
305	1,000	0	0
306	1,000	0	0
307	1,000	0	0
308	1,000	0	0
309	1,000	0	0
310	1,000	0	0
311	1,000	0	0
312	1,000	0	0
313	1,000	0	0
314	1,000	0	0
315	0	0	0
316	0	0	0
317	0	0	0
318	0	0	0
319	0	0	0
320	0	0	0
321	909.091	0	0
322	0	0	693.924
323	0	0	726.963
324	0	0	479.102
325	0	0	713.732
326	0	0	614.362
327	0	0	646.595
328	0	0	752.262
329	717.711	286.406	478.431
330	952.412	878.525	0
331	1,000	789.573	800
332	1,000	900	800
333	1,000	0	0
334	1,000	0	0
335	1,000	0	0
336	1,000	0	0
337	1,000	0	0
338	1,000	0	0
339	1,000	0	0
340	1,000	0	0
341	1,000	0	0
342	1,000	0	0
343	1,000	0	0
344	1,000	0	0
345	1,000	0	0
346	1,000	0	0
347	1,000	0	0
348	1,000	0	0
349	1,000	0	0
350	1,000	0	0
351	1,000	0	0
352	1,000	0	0
353	1,000	0	0
354	1,000	0	0
355	1,000	0	0
356	1,000	0	0
357	1,000	900	0
358	1,000	0	0
359	1,000	0	0
360	1,000	0	0
361	1,000	0	0
362	1,000	0	0
363	1,000	0	0
364	1,000	0	0
365	1,000	0	0
366	1,000	0	0
367	1,000	0	0
368	1,000	0	0
369	1,000	0	0
370	1,000	0	0
371	1,000	0	0
372	1,000	0	0
373	1,000	0	0
374	1,000	0	0
375	1,000	0	0
376	1,000	0	0
377	973.395	0	0
378	1,000	0	0
379	1,000	0	0
380	0	0	0
381	0	0	0
382	0	0	0
383	0	0	0
384	0	0	0
385	0	0	0
386	0	0	0
387	0	0	0
388	0	0	0
389	0	0	0
