daily average job lead time
day	set1	set2	set3
1	0.275	0	0
2	0.473	0	0
3	0.468	0	0
4	0.384	0	0
5	0.441	0	0
6	0.637	0	0
7	0.609	0	0
8	0.818	0	0
9	1.211	0	0
10	1.251	0	0
11	1.163	0	0
12	1.303	0	0
13	1.275	0	0
14	0.953	0	0
15	0.905	0	0
16	1.032	0	0
17	1.653	0	0
18	2.108	0	0
19	2.56	0	0
20	2.447	0	0
21	2.233	0	0
22	2.283	0	0
23	2.482	0	0
24	2.867	0	0
25	3.083	0	0
26	2.924	0	0
27	2.497	0	0
28	1.442	0	0
29	0.541	0	0
30	0.911	0	0
31	0.895	0	0
32	0.802	0	0
33	0.8	0	0
34	1.174	0	0
35	1.769	0	0
36	1.814	0	0
37	2.047	0	0
38	2.371	0	0
39	2.822	0	0
40	2.371	0	0
41	0.32	0	0
42	0.363	0	0
43	0.493	0	0
44	0.624	0	0
45	0.523	0	0
46	0.409	0	0
47	0.375	0	0
48	0.481	0	0
49	0.364	0	0
50	0.393	0	0
51	0.423	0	0
52	0.296	0	0
53	0.661	0	0
54	0.409	0	0
55	0.644	0	0
56	0.785	0	0
57	0.595	0	0
58	0	0.768	0
59	0	1.01	0
60	0	1.026	0
61	1.277	1.323	0
62	1.23	0	0
63	0.584	0	0
64	0.365	0	0
65	0.553	0	0
66	0.631	0	0
67	0.411	0	0
68	0.321	0	0
69	0.629	0	0
70	0.714	0	0
71	0	0	0
72	0	0	0
73	2.198	0	0
74	0.589	0	0
75	0.379	0	0
76	0.352	0	0
77	0.292	0	0
78	0.309	0	0
79	0.556	0	0
80	0.317	0	0
81	0.355	0	0
82	0.386	0	0
83	0.478	0	0
84	0.702	0	0
85	0.709	0	0
86	0.645	0	0
87	0.411	0	0
88	0.489	0	0
89	0.354	0	0
90	0.401	0	0
91	0.564	0	0
92	0.809	0	0
93	0.98	0	0
94	0.438	0	0
95	0.506	0	0
96	0.443	0	0
97	0.471	0	0
98	0.354	0	0
99	0.359	0	0
100	0.34	0	0
101	0.405	0.418	0
102	0	0.635	0
103	0	1.081	0
104	0	0.841	0
105	0	0.909	0
106	0.814	1.01	0.664
107	0.843	0	0
108	0.803	0	0.773
109	0.81	0.731	0.993
110	0	0.567	0.541
111	0	0.843	0.911
112	0	0.918	0
113	0	0.876	0
114	0	0.748	0
115	0	0.945	0
116	0	0.837	0
117	0	0.932	0.789
118	0	0.898	0.829
119	0	0	0.781
120	0.394	0	0.61
121	0.35	0	0
122	0.343	0	0
123	0.258	0.317	0
124	0	0.386	0
125	0	0.619	0
126	0	0.732	0.843
127	0.853	0.863	0
128	0.478	1.06	0
129	0.394	0	0.276
130	0.326	0.391	0
131	0	0.401	0
132	0.323	0.43	0
133	0.308	0.266	0
134	0	0.399	0.375
135	0.41	0.448	0.606
136	0	0.424	0
137	0	0.315	0
138	0	0.482	0
139	0.612	0.645	0
140	0.651	0	0
141	0.588	0	0
142	0.343	0	0
143	0.313	0.272	0
144	0	0.359	0
145	0	0.553	0
146	0	0.649	0
147	0.292	0.767	0
148	0.403	0.35	0
149	0	0.319	0
150	0	0.571	0.482
151	0.397	0	0.813
152	0.293	0	0
153	0.371	0	0
154	0.31	0	0
155	0.357	0.418	0
156	0	0.568	0
157	0	0.658	0
158	0	0.567	0
159	0.437	0.739	0
160	0.322	0	0
161	0.314	0	0
162	0.312	0	0
163	0	0	0
164	0.367	0	0
165	0.545	0	0
166	0.422	0	0
167	0.338	0	0
168	0.319	0	0
169	0	0.419	0
170	0	0.381	0
171	0	0.485	0
172	0	0.315	0
173	0	0.36	0
174	0	0.371	0
175	0.366	0.554	0
176	0.515	0	0.499
177	0	0	0.543
178	0	0	0.685
179	0	0	1.15
180	0	0	0.945
181	0	0	0.619
182	0	0.655	0.724
183	0	0.419	0
184	0	0.344	0
185	0	0.305	0.38
186	0	0	0.377
187	0	0	0.501
188	0	0	0.702
189	0	0	0.913
190	0	0	1.149
191	0	1.125	1.049
192	0.535	1.227	0
193	0.321	0	0
194	0.304	0	0
195	0	0.317	0
196	0	0.338	0
197	0	0.441	0
198	0	0.321	0
199	0	0.354	0
200	0	0.37	0
201	0	0.462	0.47
202	0	0	0.659
203	0	0.626	0.701
204	0	0.556	0
205	0	0.388	0
206	0	0.359	0
207	0	0.41	0
208	0	0.487	0
209	0	0.362	0
210	0	0.413	0
211	0	0.333	0
212	0	0.326	0
213	0	0.507	0
214	0	0.373	0
215	0	0.36	0
216	0	0.393	0
217	0	0.314	0
218	0	0.308	0
219	0	0.391	0
220	0	0.313	0
221	0	0.46	0
222	0	0.624	0
223	0	0.384	0
224	0	0.334	0
225	0	0.424	0
226	0	0.631	0
227	0	0.503	0
228	0	0.489	0
229	0	0.731	0
230	0	0.859	1.093
231	0	1.248	1.221
232	0	0	1.211
233	0.609	0.713	0.941
234	0	0.679	0
235	0	1.029	0
236	0	0.993	0
237	0	1.349	0
238	0	1.444	0
239	0	1.232	0
240	0	1.108	0
241	0	0.991	0
242	0	1.075	0
243	0	0.914	0
244	0	0.765	0
245	0	0.805	0
246	0	0.824	0
247	0	1.002	0
248	0	0.839	0
249	0	0.671	0
250	0	1.104	0
251	0	1.143	0
252	0	1.151	0
253	0	1.273	0
254	0	0.966	0
255	0	0.988	0
256	0	0.99	0
257	0	1.056	0
258	0	1.011	0
259	0	0.939	0
260	0	0.878	0
261	0	0.582	0
262	0	0.565	0
263	0	0.48	0
264	0	0.736	0
265	0	0.814	0
266	0	0.98	0
267	0	0.935	0
268	0	0.724	0
269	0	0.833	0
270	0	0.83	0
271	0	0.803	0
272	0	0.833	0
273	0	0.798	0
274	0	0.953	0
275	0	0.991	0
276	0	1.029	0
277	0	1.145	0
278	0	0.881	0
279	0	1.063	0
280	0	1.051	0
281	0	1.052	0
282	0	1.015	0
283	0	1.003	0
284	0	0.936	0
285	0	0.982	0.953
286	0	0	1.228
287	0	0	0.956
288	0	0	1.093
289	0	1.169	1.212
290	0	1.175	0
291	0	0.908	0
292	0	0.724	0
293	0	0.548	0
294	0	0.859	1.025
295	0	0	1.229
296	0.948	0	1.426
297	0.764	0	0
298	0.514	0	0
299	0.402	0	0
300	0.379	0	0
301	0.407	0	0
302	0.483	0	0
303	0.34	0	0
304	0.374	0	0
305	0.412	0	0
306	0.317	0	0
307	0.375	0	0
308	0.321	0	0
309	0.36	0	0
310	0.464	0	0
311	0.286	0	0
312	0.334	0	0
313	0.302	0	0
314	0.391	0	0
315	0	0	0
316	0	0	0
317	0	0	0
318	0	0	0
319	0	0	0
320	0	0	0
321	1.414	0	0
322	0	0	1.116
323	0	0	1.086
324	0	0	1.401
325	0	0	1.076
326	0	0	1.232
327	0	0	1.132
328	0	0	0.978
329	1.271	1.682	1.402
330	0.988	0.994	0
331	0.708	1.123	0.598
332	0.399	0.709	0.679
333	0.357	0	0
334	0.387	0	0
335	0.38	0	0
336	0.361	0	0
337	0.338	0	0
338	0.321	0	0
339	0.364	0	0
340	0.464	0	0
341	0.454	0	0
342	0.42	0	0
343	0.321	0	0
344	0.362	0	0
345	0.345	0	0
346	0.383	0	0
347	0.392	0	0
