day	daily average number of kits queued for station 1
1	0
2	0.502
3	0.068
4	0.34
5	0.179
6	1.12
7	0.303
8	1.009
9	0.515
10	0.225
11	0.244
12	0.117
13	0.308
14	0.474
15	1.568
16	5.361
17	3.777
18	1.447
19	0.231
20	0.415
21	1.368
22	2.29
23	1.249
24	0.237
25	0.145
26	0.105
27	0
28	0.001
29	0.883
30	1.328
31	0.126
32	0.304
33	2.614
34	2.988
35	2.745
36	3.443
37	1.868
38	2.019
39	0
40	0
41	0.021
42	0.248
43	0.926
44	2.833
45	0.33
46	0.574
47	0.578
48	0.472
49	0.167
50	1.016
51	0.38
52	1.107
53	1.883
54	0.966
55	3.073
56	0.416
57	0
58	3.045
59	2.705
60	0.241
61	0
62	0.06
63	0
64	0.027
65	0.026
66	0
67	0.002
68	0.059
69	0
70	0
71	0
72	0
73	0.768
74	0.187
75	0.032
76	0.033
77	0.031
78	0.146
79	0.037
80	0
81	0.026
82	0.162
83	0.033
84	0.073
85	0.048
86	0.158
87	0.021
88	0.108
89	0.1
90	0.005
91	0.189
92	0.011
93	0
94	0.016
95	0.007
96	0.05
97	0.053
98	0.122
99	0
100	0.077
101	0.809
102	2.086
103	0.035
104	0.363
105	0.083
106	0.11
107	0.07
108	0.516
109	0.248
110	2.874
111	2.374
112	0.434
113	0.093
114	1.467
115	0.551
116	0.371
117	0.817
118	0.595
119	1.154
120	0.465
121	0
122	0
123	0.1
124	2.814
125	7.451
126	9.553
127	5.397
128	0.269
129	0.022
130	1.011
131	2.301
132	0.143
133	0
134	0.871
135	1.148
136	0.977
137	0.648
138	5.733
139	5.649
140	5.931
141	2.653
142	0.074
143	0
144	2.098
145	5.364
146	6.859
147	1.704
148	0.291
149	0.707
150	2.28
151	0.085
152	0
153	0
154	0.027
155	0.628
156	0.829
157	0.09
158	0.185
159	0.012
160	0.032
161	0.007
162	0
163	0
164	0
165	0.919
166	0.018
167	0.046
168	0.099
169	0.095
170	0.45
171	0.285
172	0
173	0.073
174	0.286
175	0.107
176	2.178
177	5.843
178	7.961
179	2.641
180	1.215
181	7.215
182	4.54
183	0.408
184	0.097
185	0.529
186	1.847
187	6.972
188	11.452
189	14.161
190	11.486
191	4.122
192	0.019
193	0
194	0
195	0.12
196	0.27
197	0.114
198	0.003
199	0.061
200	0.317
201	3.604
202	5.368
203	4.639
204	0.089
205	0.282
206	0.195
207	0.212
208	0.14
209	0.179
210	0.276
211	0.193
212	0.32
213	0.55
214	0.324
215	1.961
216	0.472
217	0.076
218	0.244
219	0.122
220	0.005
221	0.508
222	0.042
223	0.132
224	0.344
225	2.068
226	3.138
227	2.557
228	5.361
229	10.085
230	12.837
231	11.967
232	6.175
233	0.627
234	0.963
235	1.494
236	7.116
237	2.576
238	0.418
239	0.278
240	0.002
241	0.056
242	0.051
243	0.023
244	0
245	0.15
246	0.104
247	0.149
248	0.041
249	0.141
250	0
251	0.011
252	0.139
253	0.07
254	0.109
255	0.052
256	0.327
257	0.175
258	0.18
259	0.212
260	0.056
261	0.411
262	0.078
263	0.177
264	0.423
265	0.165
266	0.022
267	0.071
268	0.295
269	0.393
270	0.629
271	0.904
272	0.178
273	0.122
274	0.194
275	0.054
276	0.689
277	0.047
278	0.112
279	0.18
280	0.053
281	0.323
282	0.426
283	0.333
284	0.682
285	0.793
286	0
287	1.765
288	0.065
289	0.011
290	0.117
291	0.65
292	0.368
293	2.085
294	1.294
295	0
296	0.069
297	0
298	0.3
299	0.117
300	0.543
301	0.171
302	0.001
303	0.017
304	0
305	0.023
306	0.033
307	0
308	0
309	0
310	0
311	0
312	0.018
313	0
314	0
315	0
316	0
317	0
318	0
319	0
320	0
321	4.743
322	0.562
323	0.333
324	0
325	0.972
326	0.082
327	1.728
328	0.148
329	0.092
330	0
331	0.653
332	0.017
333	0.008
334	0.005
335	0.102
336	0.076
337	0.016
338	0.007
339	0.046
340	0.05
341	0.016
342	0.055
343	0
344	0.329
345	0
346	0.003
347	0
348	0.009
349	0.043
350	0
351	0.041
352	0
353	0.062
354	0
355	0
356	0.002
357	0
358	0
359	0
360	0.09
361	0
362	0.03
363	0
364	0.092
365	0
366	0.011
367	0
368	0.012
369	0
370	0
371	0
372	0
373	0
374	0.013
375	0.046
376	0.067
377	0
378	0.088
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
