day	utilization of station 2, averaged over each day
1	0.256
2	1
3	0.62
4	0.866
5	0.895
6	0.996
7	1
8	1
9	1
10	1
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	1
22	1
23	1
24	1
25	1
26	1
27	1
28	0.995
29	0.975
30	1
31	1
32	1
33	1
34	1
35	1
36	1
37	1
38	1
39	1
40	0.586
41	0.276
42	0.491
43	0.58
44	0.715
45	0.371
46	0.436
47	0.578
48	0.568
49	0.514
50	0.467
51	0.547
52	0.458
53	0.72
54	0.57
55	0.527
56	0.47
57	0.006
58	0.331
59	1
60	0.89
61	0.516
62	0.573
63	0.622
64	0.551
65	0.67
66	0.701
67	0.647
68	0.616
69	0.664
70	0.262
71	0
72	0
73	0.329
74	0.927
75	0.497
76	0.625
77	0.552
78	0.79
79	0.677
80	0.556
81	0.829
82	0.646
83	0.802
84	0.644
85	0.525
86	0.537
87	0.551
88	0.421
89	0.64
90	0.662
91	0.74
92	0.534
93	0.614
94	0.608
95	0.804
96	0.792
97	0.587
98	0.756
99	0.384
100	0.528
101	0.886
102	1
103	0.732
104	0.986
105	0.838
106	0.997
107	0.85
108	0.965
109	1
110	1
111	1
112	1
113	1
114	1
115	1
116	1
117	1
118	1
119	1
120	0.704
121	0.302
122	0.395
123	0.388
124	0.792
125	0.845
126	0.78
127	0.858
128	0.648
129	0.434
130	0.715
131	0.749
132	0.612
133	0.162
134	0.344
135	0.875
136	0.765
137	0.678
138	0.838
139	0.8
140	0.868
141	0.816
142	0.405
143	0.524
144	0.805
145	0.827
146	0.788
147	0.775
148	0.536
149	0.802
150	0.827
151	0.883
152	0.279
153	0.564
154	0.579
155	0.962
156	1
157	1
158	1
159	0.867
160	0.657
161	0.558
162	0.279
163	0
164	0.192
165	0.455
166	0.64
167	0.777
168	0.533
169	0.794
170	0.836
171	0.812
172	0.584
173	0.698
174	0.729
175	0.491
176	0.903
177	0.9
178	0.847
179	0.871
180	1
181	0.942
182	0.889
183	0.678
184	0.666
185	0.839
186	0.889
187	0.907
188	0.915
189	0.899
190	0.914
191	0.764
192	0.542
193	0.505
194	0.148
195	0.507
196	0.667
197	0.65
198	0.633
199	0.664
200	0.741
201	0.938
202	0.865
203	0.91
204	0.768
205	0.683
206	0.866
207	0.702
208	0.707
209	0.697
210	0.798
211	0.744
212	0.667
213	0.79
214	0.79
215	0.813
216	0.817
217	0.689
218	0.824
219	0.668
220	0.629
221	0.742
222	0.692
223	0.772
224	0.702
225	0.803
226	0.942
227	0.954
228	0.905
229	0.868
230	0.89
231	0.931
232	0.973
233	0.796
234	0.848
235	0.933
236	0.933
237	0.825
238	0.848
239	0.887
240	0.778
241	0.79
242	0.986
243	0.901
244	0.768
245	0.877
246	0.937
247	1
248	0.866
249	0.887
250	0.906
251	0.858
252	0.804
253	0.958
254	0.953
255	0.775
256	0.871
257	0.896
258	0.798
259	0.929
260	1
261	0.996
262	0.998
263	0.796
264	0.969
265	0.879
266	0.896
267	0.914
268	1
269	1
270	0.99
271	0.981
272	0.983
273	0.992
274	0.875
275	0.918
276	0.724
277	0.868
278	1
279	0.798
280	0.92
281	0.915
282	0.934
283	0.941
284	1
285	0.988
286	0.772
287	0.974
288	0.814
289	0.673
290	0.781
291	0.983
292	0.967
293	1
294	1
295	0.845
296	0.933
297	0.682
298	0.928
299	0.889
300	0.89
301	0.901
302	0.766
303	0.676
304	0.581
305	0.61
306	0.628
307	0.542
308	0.629
309	0.488
310	0.515
311	0.587
312	0.559
313	0.623
314	0.101
315	0
316	0
317	0
318	0
319	0
320	0
321	0.827
322	0.88
323	0.962
324	0.75
325	0.971
326	0.678
327	0.92
328	0.889
329	0.655
330	0.674
331	0.97
332	0.685
333	0.679
334	0.75
335	0.742
336	0.644
337	0.58
338	0.862
339	0.73
340	0.674
341	0.668
342	0.722
343	0.557
344	0.919
345	0.58
346	0.715
347	0.625
348	0.596
349	0.548
350	0.399
351	0.48
352	0.516
353	0.446
354	0.378
355	0.487
356	0.51
357	0.583
358	0.564
359	0.633
360	0.685
361	0.441
362	0.612
363	0.538
364	0.57
365	0.487
366	0.698
367	0.541
368	0.629
369	0.576
370	0.62
371	0.512
372	0.624
373	0.634
374	0.526
375	0.697
376	0.705
377	0.671
378	0.776
379	0.023
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
