day,CASH,INV,JOBIN,JOBQ,JOBOUT_075,JOBOUT_100,JOBOUT_125,JOBT_075,JOBT_100,JOBT_125,JOBREV_075,JOBREV_100,JOBREV_125,S1IN,S1Q,S1UTIL,S2Q,S2UTIL,S3Q,S3UTIL
1.0,1.0,396,4.0,0.0,1.0,0.0,0.0,0.275,0.0,0.0,1000.0,0.0,0.0,240.0,0.0,0.345,0.0,0.256,0.0,0.062
2.0,9.001,387,9.0,0.0,8.0,0.0,0.0,0.473,0.0,0.0,1000.0,0.0,0.0,540.0,0.502,0.9490000000000001,0.9209999999999999,1.0,0.363,0.64
3.0,15.004,383,4.0,0.0,6.0,0.0,0.0,0.46799999999999997,0.0,0.0,1000.0,0.0,0.0,240.0,0.068,0.43799999999999994,0.308,0.62,0.128,0.386
4.0,20.009,376,7.0,0.0,5.0,0.0,0.0,0.384,0.0,0.0,1000.0,0.0,0.0,420.0,0.34,0.753,0.384,0.866,0.0,0.391
5.0,28.015,369,7.0,0.0,8.0,0.0,0.0,0.441,0.0,0.0,1000.0,0.0,0.0,420.0,0.179,0.701,0.654,0.895,0.042,0.46399999999999997
6.0,35.023,361,8.0,0.0,7.0,0.0,0.0,0.637,0.0,0.0,1000.0,0.0,0.0,480.0,1.12,0.9159999999999999,1.649,0.996,0.095,0.392
7.0,41.033,353,8.0,0.0,6.0,0.0,0.0,0.609,0.0,0.0,1000.0,0.0,0.0,480.0,0.303,0.8809999999999999,1.979,1.0,0.087,0.527
8.0,45.973,343,10.0,0.0,5.0,0.0,0.0,0.818,0.0,0.0,985.766,0.0,0.0,600.0,1.0090000000000001,0.9940000000000001,5.091,1.0,0.0,0.139
9.0,53.089,336,7.0,0.0,9.0,0.0,0.0,1.2109999999999999,0.0,0.0,789.194,0.0,0.0,420.0,0.515,0.807,7.1370000000000005,1.0,0.0,0.391
10.0,58.349,329,7.0,0.0,7.0,0.0,0.0,1.251,0.0,0.0,749.421,0.0,0.0,420.0,0.225,0.7909999999999999,6.47,1.0,0.008,0.41
11.0,63.386,321,8.0,0.0,6.0,0.0,0.0,1.163,0.0,0.0,836.806,0.0,0.0,480.0,0.244,0.879,4.2010000000000005,1.0,1.7480000000000002,1.0
12.0,69.678,314,7.0,0.0,9.0,0.0,0.0,1.3030000000000002,0.0,0.0,697.158,0.0,0.0,420.0,0.11699999999999999,0.795,7.9270000000000005,1.0,0.207,0.565
13.0,76.223,307,7.0,0.0,9.0,0.0,0.0,1.275,0.0,0.0,725.105,0.0,0.0,420.0,0.308,0.625,5.5329999999999995,1.0,0.021,0.34
14.0,82.919,302,5.0,0.0,7.0,0.0,0.0,0.953,0.0,0.0,953.667,0.0,0.0,300.0,0.474,0.701,4.592,1.0,0.128,0.5660000000000001
15.0,89.805,289,13.0,0.0,7.0,0.0,0.0,0.905,0.0,0.0,980.501,0.0,0.0,780.0,1.568,0.93,3.074,1.0,0.013000000000000001,0.499
16.0,96.164,278,11.0,0.0,7.0,0.0,0.0,1.032,0.0,0.0,904.836,0.0,0.0,660.0,5.361000000000001,1.0,5.361000000000001,1.0,0.111,0.684
17.0,98.27,273,5.0,0.0,6.0,0.0,0.0,1.653,0.0,0.0,346.902,0.0,0.0,300.0,3.7769999999999997,1.0,9.097000000000001,1.0,0.05,0.45299999999999996
18.0,98.431,266,7.0,0.0,5.0,0.0,0.0,2.108,0.0,0.0,26.928,0.0,0.0,420.0,1.4469999999999998,0.955,12.254000000000001,1.0,0.0,0.467
19.0,98.456,258,8.0,0.0,7.0,0.0,0.0,2.56,0.0,0.0,0.0,0.0,0.0,480.0,0.231,0.708,14.158,1.0,0.015,0.45
20.0,98.482,249,9.0,0.0,8.0,0.0,0.0,2.447,0.0,0.0,0.0,0.0,0.0,540.0,0.415,0.9440000000000001,14.758,1.0,0.0,0.259
21.0,98.508,239,10.0,0.0,6.0,0.0,0.0,2.233,0.0,0.0,0.0,0.0,0.0,600.0,1.368,0.898,14.675999999999998,1.0,0.006,0.49700000000000005
22.0,98.534,230,9.0,0.0,8.0,0.0,0.0,2.283,0.0,0.0,0.0,0.0,0.0,540.0,2.29,1.0,17.234,1.0,0.0,0.292
23.0,98.559,223,7.0,0.0,6.0,0.0,0.0,2.4819999999999998,0.0,0.0,0.0,0.0,0.0,420.0,1.249,1.0,19.159000000000002,1.0,0.21899999999999997,0.617
24.0,98.585,216,7.0,0.0,7.0,0.0,0.0,2.867,0.0,0.0,0.0,0.0,0.0,420.0,0.237,0.7,20.730999999999998,1.0,0.109,0.583
25.0,98.611,212,4.0,0.0,10.0,0.0,0.0,3.083,0.0,0.0,0.0,0.0,0.0,240.0,0.145,0.551,19.02,1.0,0.28800000000000003,0.732
26.0,98.637,206,6.0,0.0,9.0,0.0,0.0,2.924,0.0,0.0,0.0,0.0,0.0,360.0,0.105,0.674,15.154000000000002,1.0,0.068,0.33399999999999996
27.0,98.662,203,3.0,0.0,8.0,0.0,0.0,2.497,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.239,10.12,1.0,0.08199999999999999,0.456
28.0,104.769,199,4.0,0.0,12.0,0.0,0.0,1.442,0.0,0.0,506.734,0.0,0.0,240.0,0.001,0.516,3.728,0.995,0.147,0.363
29.0,110.797,188,11.0,0.0,6.0,0.0,0.0,0.541,0.0,0.0,1000.0,0.0,0.0,660.0,0.883,0.965,0.993,0.975,0.259,0.852
30.0,118.563,181,7.0,0.0,8.0,0.0,0.0,0.9109999999999999,0.0,0.0,966.972,0.0,0.0,420.0,1.328,0.978,4.065,1.0,0.364,0.662
31.0,126.385,173,8.0,0.0,8.0,0.0,0.0,0.895,0.0,0.0,973.74,0.0,0.0,480.0,0.126,0.708,3.11,1.0,0.11800000000000001,0.43200000000000005
32.0,133.416,168,5.0,0.0,7.0,0.0,0.0,0.802,0.0,0.0,999.658,0.0,0.0,300.0,0.304,0.695,3.515,1.0,0.188,0.624
33.0,88.449,154,14.0,0.0,5.0,0.0,0.0,0.8,0.0,0.0,1000.0,0.0,0.0,840.0,2.614,0.953,2.094,1.0,0.557,0.6890000000000001
34.0,95.081,147,7.0,0.0,8.0,0.0,0.0,1.1740000000000002,0.0,0.0,825.998,0.0,0.0,420.0,2.988,1.0,6.132999999999999,1.0,0.374,0.5870000000000001
35.0,96.49,138,9.0,0.0,6.0,0.0,0.0,1.7690000000000001,0.0,0.0,230.654,0.0,0.0,540.0,2.745,1.0,8.875,1.0,0.315,0.698
36.0,97.883,128,10.0,0.0,7.0,0.0,0.0,1.814,0.0,0.0,195.294,0.0,0.0,600.0,3.443,1.0,10.924000000000001,1.0,0.433,0.846
37.0,98.142,118,10.0,0.0,7.0,0.0,0.0,2.0469999999999997,0.0,0.0,33.335,0.0,0.0,600.0,1.868,1.0,13.899000000000001,1.0,0.0,0.315
38.0,98.167,115,3.0,0.0,6.0,0.0,0.0,2.371,0.0,0.0,0.0,0.0,0.0,180.0,2.019,0.7659999999999999,15.254000000000001,1.0,0.513,0.953
